,beta,pct_effect,rank_most_negative,n_units,perm_p_one_sided,placebo_sd
"Main: 2021-01..latest, post = Dec 2022",-0.5881889538012854,-44.46678933287983,1.0,47.0,0.02127659574468085,0.22143291885983948
Long pre-period: 2020-02..latest,-0.5348112314214418,-41.42201434603981,1.0,47.0,0.02127659574468085,0.2064118003533512
Post-boom pre-period: 2022-06..latest,-0.5600741344097258,-42.88332808283453,1.0,47.0,0.02127659574468085,0.19121968166283615
"Placebo in time: pre-data only, fake post = Mar 2022",0.05740806641065338,5.908790042688372,33.0,47.0,0.7021276595744681,0.09644134701997346
"Placebo in time: pre-data only, fake post = Jun 2022",-0.03625800524021572,-3.5608556663817446,16.0,47.0,0.3404255319148936,0.09032568035365143
