YEAR,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,A_MEAN,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,dv_rating_alpha,dv_rating_beta,human_rating_alpha,human_rating_beta,aioe,w,z,z_h,z_aioe,log_tot_emp,log_a_median,log_a_pct10,log_a_pct90
2019,11-1011,Chief Executives,detailed,205890.0,193850.0,62290.0,112790.0,184460.0,,,0.1333333333333333,0.5077777777777778,0.11777777777777775,0.36944444444444435,1.334246,199240.0,0.8621382050565752,0.43110954914258726,1.3455958908435532,12.23509732457079,12.12518791678971,11.03955617824819,
2019,11-1021,General and Operations Managers,detailed,2400280.0,123030.0,45050.0,65660.0,100780.0,157430.0,,0.0,0.4807692307692308,0.1153846153846153,0.3846153846153846,0.5748773,3376680.0,0.7396690198604664,0.5039573347349314,0.597521925713963,14.691095955179815,11.52069520223459,10.715528263036484,
2019,11-2011,Advertising and Promotions Managers,detailed,25100.0,141890.0,61930.0,86330.0,125510.0,175940.0,,0.0,0.4767441860465116,0.2558139534883721,0.5465116279069767,1.294387,22010.0,0.7214176142067923,1.2813503431196567,1.3063297475641418,10.130623125119875,11.740140715654492,11.033759993932106,
2019,11-2021,Marketing Managers,detailed,263680.0,149200.0,71010.0,97710.0,136850.0,185320.0,,0.0625,0.5,0.21875,0.578125,1.315032,328570.0,0.8268701802057971,1.4331513604682626,1.3266676769653674,12.482491525703244,11.826640714468825,11.17057599117614,
2019,11-2022,Sales Managers,detailed,402600.0,141690.0,59810.0,85150.0,126640.0,177830.0,,0.0,0.45,0.1,0.4833333333333333,1.26628,536390.0,0.6001471633079373,0.977980953659761,1.2786408068191555,12.905698792187827,11.749103694554893,10.998928150038603,
2019,11-3021,Computer and Information Systems Managers,detailed,433960.0,156390.0,87480.0,113110.0,146360.0,185610.0,,0.1212121212121212,0.5303030303030303,0.303030303030303,0.5606060606060607,1.059853,533220.0,0.964278069234803,1.3490289576115468,1.0752841707083887,12.980707642936387,11.893824619133143,11.379165474790705,
2019,11-3031,Financial Managers,detailed,654790.0,147530.0,68370.0,92310.0,129890.0,181980.0,,0.0,0.4850552306692657,0.1221201151025712,0.4541306971131532,1.446232,740780.0,0.7591037164156633,0.8377558022763407,1.4559162280644609,13.392069852523772,11.77444321740133,11.13268941090784,
2019,11-3051,Industrial Production Managers,detailed,185790.0,115110.0,65050.0,82400.0,105480.0,136880.0,176070.0,0.07074510264368754,0.40571870150289957,0.13070700264096488,0.3296039063138119,0.5086878,211710.0,0.3993553715595916,0.2398033448518841,0.5323169182980069,12.132372282600217,11.566276640467223,11.082911483940652,12.07863692222049
2019,11-3061,Purchasing Managers,detailed,72100.0,128400.0,71450.0,92560.0,121110.0,152890.0,193400.0,0.2285714285714285,0.5857142857142857,0.1142857142857142,0.4714285714285714,1.423426,75070.0,1.215538209173557,0.9208166953478616,1.433449441049477,11.185809323273041,11.704454502515096,11.176753183358013,12.172515862001331
2019,11-3071,"Transportation, Storage, and Distribution Managers",detailed,132040.0,103320.0,55850.0,72050.0,94560.0,124460.0,160500.0,0.01785714285714285,0.486525974025974,0.16201298701298694,0.47297077922077924,0.8907923,169910.0,0.765772743833971,0.9282220651746306,0.9087380539187659,11.79086018596713,11.456989832639925,10.930424804497347,11.986049221552207
