date,All postings,Software Development,IT Operations & Helpdesk,Mathematics,Information Design & Documentation,Scientific Research & Development,Electrical Engineering,Civil Engineering,Industrial Engineering,Architecture,Banking & Finance,Accounting,Insurance,Legal,Marketing,Media & Communications,Human Resources,Management,Project Management,Administrative Assistance,Customer Service,Sales,Retail,Arts & Entertainment,Education & Instruction,Nursing,Physicians & Surgeons,Therapy,Pharmacy,Dental,Medical Technician,Medical Information,Veterinary,Personal Care & Home Health,Community & Social Service,Childcare,Construction,Installation & Maintenance,Production & Manufacturing,Logistic Support,Loading & Stocking,Driving,Cleaning & Sanitation,Food Preparation & Service,Hospitality & Tourism,Security & Public Safety,Beauty & Wellness,Sports
2020-02-01,100.04862068965517,99.65137931034482,98.59413793103448,99.97241379310344,98.67724137931035,100.21068965517242,99.85172413793103,99.99827586206897,100.12275862068965,100.85620689655173,102.1851724137931,101.08068965517242,101.50379310344827,99.51137931034482,100.60413793103449,101.09896551724138,100.04068965517241,99.2748275862069,100.03689655172414,100.33827586206897,99.51620689655174,99.27586206896552,98.44827586206897,99.18655172413793,100.38310344827586,99.78689655172414,100.28344827586206,98.67655172413792,99.6048275862069,100.04862068965517,100.3096551724138,101.21448275862068,102.21172413793103,102.07241379310345,100.23034482758621,99.06931034482758,98.90620689655174,99.14241379310346,100.13758620689654,97.60655172413793,99.46413793103449,99.10827586206896,99.0496551724138,98.94448275862068,99.5893103448276,100.16931034482758,100.06172413793104,99.68689655172415
2020-03-01,94.51903225806453,98.2174193548387,94.29387096774194,96.48645161290322,94.43967741935484,99.53709677419356,95.5983870967742,96.84516129032258,97.18903225806451,95.38967741935484,101.90709677419355,94.6058064516129,99.09161290322581,93.46419354838709,93.68935483870968,94.49451612903225,93.67258064516129,93.03387096774195,97.47258064516129,92.55967741935484,92.4574193548387,94.52870967741936,94.21000000000001,92.70161290322581,95.85387096774194,98.73193548387097,101.88935483870968,89.79709677419355,101.47806451612904,90.01225806451613,97.90645161290323,98.6716129032258,97.00967741935484,101.0316129032258,96.25483870967743,90.08129032258064,94.62387096774194,91.36129032258064,95.73677419354838,89.42612903225806,93.17806451612903,93.0583870967742,90.96096774193548,88.55645161290323,82.12870967741935,95.16032258064516,94.94483870967741,94.22645161290322
2020-04-01,68.19766666666666,77.40966666666667,73.05,69.77666666666667,68.53999999999999,75.94533333333334,73.925,73.58766666666666,77.071,60.823,67.11,61.02733333333333,71.24266666666666,60.650333333333336,53.285333333333334,58.986,56.54533333333333,71.82666666666667,71.36200000000001,58.340333333333334,63.51133333333333,60.550666666666665,71.37633333333333,58.36533333333333,72.13733333333333,83.28066666666668,87.01233333333333,59.16466666666667,91.99233333333333,42.59433333333333,70.17933333333333,61.32566666666666,67.83533333333334,88.20533333333333,72.91466666666666,43.839000000000006,64.92,63.419666666666664,70.03366666666668,56.529666666666664,64.24366666666667,76.356,59.17833333333333,55.677,36.23800000000001,76.58500000000001,56.37466666666667,64.291
2020-05-01,62.89870967741936,66.54193548387097,66.33612903225807,57.5158064516129,56.74516129032258,64.03677419354838,66.5741935483871,67.22290322580645,67.4574193548387,53.331935483870964,56.15967741935484,60.149677419354845,66.30548387096773,51.645483870967745,44.70516129032258,51.012903225806454,44.78,65.67774193548387,61.2858064516129,53.88129032258065,57.50838709677419,50.84967741935483,63.395483870967745,49.58064516129032,63.8658064516129,75.84516129032258,77.87064516129031,51.53290322580645,78.65,47.20548387096774,59.90225806451613,50.8358064516129,68.80741935483871,86.34387096774194,64.53935483870968,38.61612903225806,67.94,61.49645161290322,66.43645161290323,50.78806451612903,63.94903225806452,82.55451612903227,59.91548387096775,56.30064516129032,31.450000000000003,75.01290322580645,56.61354838709677,49.307096774193546
2020-06-01,70.05166666666668,65.23966666666666,68.16633333333333,56.830000000000005,57.32633333333333,67.62633333333333,67.59433333333332,68.54199999999999,67.33733333333333,56.14366666666667,57.977999999999994,64.91433333333333,72.64699999999999,53.705333333333336,47.63966666666667,54.753,47.111999999999995,71.22733333333333,61.586,64.35533333333333,66.99766666666667,58.816,74.63666666666667,51.92933333333334,67.92866666666667,77.41499999999999,77.15733333333333,57.29666666666667,76.44066666666666,79.63566666666667,64.866,59.855333333333334,97.68133333333334,92.76833333333335,69.35466666666666,56.300666666666665,82.07166666666667,71.75866666666667,73.50433333333334,55.92433333333334,77.98933333333333,99.07933333333334,75.38166666666666,67.51866666666666,43.82033333333333,84.01700000000001,70.42566666666667,54.52133333333334
2020-07-01,78.2583870967742,67.33161290322582,71.86387096774193,60.385161290322586,60.69387096774194,75.48354838709676,69.9790322580645,74.21806451612902,70.78903225806452,59.43645161290323,65.65064516129033,69.5974193548387,83.85645161290323,60.55903225806451,53.12419354838709,59.69225806451613,54.90354838709678,76.37064516129031,65.0067741935484,73.49193548387096,76.84387096774194,69.36580645161291,85.98548387096774,56.512580645161286,72.48096774193547,85.6325806451613,79.7567741935484,63.299032258064514,81.02258064516128,97.21419354838709,77.62032258064517,74.62612903225806,112.4025806451613,104.30451612903227,77.19774193548388,67.5383870967742,93.37516129032258,81.43354838709678,82.89806451612904,64.0525806451613,94.37838709677419,105.86451612903227,90.54967741935484,76.3258064516129,54.05032258064516,96.27516129032259,80.92387096774193,58.24774193548387
2020-08-01,82.9558064516129,70.07032258064515,74.36354838709677,62.311290322580646,62.810322580645156,80.57096774193548,70.11516129032259,73.41774193548386,73.1841935483871,60.29387096774193,71.17129032258065,73.18677419354839,90.14709677419354,64.96193548387096,58.3058064516129,60.196129032258064,60.90516129032258,81.4758064516129,66.72645161290322,78.42096774193548,81.9041935483871,72.79225806451613,89.57225806451612,59.86677419354838,74.08903225806452,94.04032258064517,80.35387096774193,68.37967741935483,91.57161290322581,105.19774193548388,89.24354838709678,86.88967741935484,118.87870967741937,110.97806451612904,80.96225806451612,74.92709677419354,101.55000000000001,87.2925806451613,91.3816129032258,73.49935483870968,105.89032258064516,98.81258064516129,96.32935483870968,78.34548387096774,56.9841935483871,101.28258064516129,80.7683870967742,54.67354838709678
2020-09-01,86.307,72.93833333333333,77.38033333333333,66.85333333333332,65.93833333333333,86.72966666666666,71.34766666666665,70.73433333333334,75.70233333333334,60.53733333333333,77.09066666666666,78.998,95.70966666666666,69.02199999999999,65.59866666666667,64.46533333333333,67.28733333333334,84.977,69.15066666666667,83.48033333333333,86.68833333333333,75.61933333333333,89.98266666666667,63.48533333333333,79.35733333333333,99.25366666666667,86.30466666666666,75.627,95.07300000000001,110.07366666666667,96.99600000000001,96.83366666666667,120.454,115.025,84.93833333333333,86.01266666666668,108.729,92.144,98.82066666666667,81.62033333333333,111.45666666666666,99.775,99.82566666666666,82.02366666666667,59.729,101.53233333333333,80.03566666666667,57.11966666666667
2020-10-01,90.46225806451612,77.78709677419356,80.39709677419354,72.42903225806452,69.08774193548388,91.17129032258065,74.24451612903225,69.60129032258064,77.09193548387097,62.89387096774194,84.19967741935484,89.31870967741936,98.69967741935484,75.9,72.17290322580645,73.22806451612904,74.26290322580645,89.62709677419355,72.01129032258065,88.14290322580645,90.08354838709678,80.42290322580645,92.59322580645161,67.4874193548387,83.80354838709677,106.91548387096775,92.74290322580644,85.32645161290323,94.47935483870968,112.17290322580645,104.24225806451612,103.92032258064515,122.80129032258066,119.43774193548387,91.03096774193548,88.52451612903226,113.34774193548388,97.05935483870968,105.9932258064516,83.20225806451613,118.7358064516129,108.24774193548386,103.22419354838709,85.20774193548387,62.22774193548387,99.27387096774193,83.78516129032259,63.05483870967742
2020-11-01,93.53833333333334,83.614,81.64899999999999,78.398,75.22866666666667,98.23533333333333,78.92366666666666,73.73066666666666,82.01433333333333,65.83200000000001,88.95066666666666,105.098,99.49933333333334,80.506,79.14200000000001,77.08,81.33666666666666,92.08766666666666,76.324,91.51,92.604,83.452,93.85100000000001,70.27933333333334,84.021,111.472,94.79433333333333,91.58333333333333,91.73666666666666,109.242,109.77533333333334,108.541,121.86333333333333,120.65333333333334,94.777,87.42766666666667,114.24366666666667,101.743,114.31266666666667,88.03266666666667,125.48766666666667,112.02199999999999,102.63833333333334,85.15133333333333,65.51766666666667,100.95433333333334,81.39466666666667,68.458
