,median_weekly,median_weekly,median_weekly,median_weekly,pct_topcoded,pct_topcoded,pct_topcoded,pct_topcoded,n,n,n,n
age_band,22-25,26-30,31-40,41+,22-25,26-30,31-40,41+,22-25,26-30,31-40,41+
year,,,,,,,,,,,,
2020,1442.3,1923.07,1923.07,2115.0,8.159217317350915,19.74499121771094,22.366559919528548,24.0903718726489,125,249,564,634
2021,1442.3,1826.0,1960.5,2080.0,10.860749300350992,19.08041098212246,21.50720687376408,24.847254450064344,125,302,546,666
2022,1596.15,2269.23,2307.69,2307.69,4.105497966863403,31.69507715623549,34.17710841261321,34.38960459445426,136,291,573,667
2023,1730.76,2019.23,2307.69,2307.69,18.73914857907201,25.192670778946763,34.66512262731472,30.56540476897761,127,295,592,651
2024,1920.0,2280.76,2460.0,2500.0,17.35356256350442,24.274619062782858,35.777255037677435,36.74510597003399,119,305,563,662
2025,1920.0,2180.0,2600.0,2700.0,17.16608345001976,26.100684209370595,39.75441543188203,40.79102196175001,113,254,488,570
2026,2020.0,2300.0,2660.0,2700.0,20.19250976747639,34.001893698197335,35.92915201441685,37.85763689869167,72,185,388,447
