year,young 22-25 (%) | other occ.,young 22-25 (%) | software,young 22-27 (%) | other occ.,young 22-27 (%) | software,n | other occ.,n | software,gap 22-25 (pp),gap vs 2022 (pp),naive SE software (pp)
2020,8.718564732020653,9.245812786631106,13.716376399377683,16.02396423812666,490178,6315,0.5272480546104532,0.7553481284193957,0.3645181907857631
2021,8.845936315424705,7.757986844356841,13.884642722418647,15.599381553539784,500831,6553,-1.0879494710678639,-0.8598493972589214,0.33045994161721526
2022,8.817429092779284,8.589329018970341,13.634291345680968,16.017816068180466,487299,6798,-0.22810007380894248,0.0,0.3398501670660992
2023,9.279641569630002,8.30023072579585,14.04906413867797,14.930682128533897,478962,6676,-0.9794108438341524,-0.75131077002521,0.33765333211735815
2024,8.998852368143448,8.153475060208729,13.769288655172915,14.007581412729028,475901,6638,-0.8453773079347187,-0.6172772341257762,0.33587997649687856
2025,8.943748537415964,9.192000217168546,13.723475574807884,15.266044383345129,414822,5928,0.2482516797525829,0.47635175356152537,0.37524332045841297
2026,9.175889067696467,7.474609181365359,14.163652381953218,14.654880211939775,288430,4426,-1.7012798863311076,-1.4731798125221651,0.3952928912687021
