occ,pre_share,post_share,pp_change,log_ratio,title,n_pre,n_post
2320,5.437928112398629,5.940243075383115,0.5023149629844852,0.08835192768876124,Secondary school teachers,6969,10504
2330,5.667680521183926,6.278469109927537,0.6107885887436106,0.10234622357059482,Special education teachers,2645,4111
2360,10.140429208854112,8.27020484451521,-1.8702243643389025,-0.2038710472370272,Other teachers and instructors,4585,10266
2435,3.6522588840926016,5.492036448623779,1.8397775645311771,0.4079532760335384,Librarians and media collections specialists,1178,2085
2545,14.835743491236189,17.062017176264835,2.226273685028646,0.1398154053225598,Teaching assistants,8451,14978
2555,4.458857890659228,7.104285145203576,2.645427254544348,0.4658054886564776,Other educational instruction and library workers,985,1978
2600,8.077993810179523,6.762567358631563,-1.3154264515479595,-0.1777409461504239,Artists and related workers,1812,3224
2634,8.838040649197463,8.229183660309145,-0.6088569888883182,-0.07137838702273264,Graphic designers,1887,3183
2640,6.130284449162123,7.627003705448127,1.4967192562860037,0.2184539173437248,Other designers,2305,4113
2710,7.399672965655705,6.390807601079048,-1.008865364576657,-0.14657515985433311,Producers and directors,1082,2104
2722,13.817430833101454,14.958274185801375,1.140843352699921,0.07933370501344002,Coaches and scouts,1419,2803
2825,10.129834824472326,11.661042019158035,1.5312071946857095,0.14076853137660997,Public relations specialists,984,1687
2850,5.760176013302221,6.383068007459272,0.622891994157051,0.10268082857771285,Writers and authors,1652,2586
2910,7.70796964493863,10.382276381009579,2.6743067360709487,0.2978453458027199,Photographers,1188,2151
3010,1.1426304899890878,0.08673603582651429,-1.0558944541625734,-2.5782188951085376,Dentists,941,1900
3030,3.2643129804554403,6.166632395850176,2.9023194153947354,0.6361035648462584,Dietitians and nutritionists,870,1398
3050,3.8077633542175,3.7770548932220427,-0.0307084609954571,-0.008097393446734102,Pharmacists,2461,3875
3090,0.5610662653264183,0.19469260758375517,-0.3663736577426632,-1.0584170751407487,Physicians,6147,10403
3110,3.35725725673152,4.192213691696269,0.8349564349647487,0.22210457380465942,Physician assistants,1125,1995
3150,4.770631008554842,3.828834007942135,-0.941797000612707,-0.21991826278617826,Occupational therapists,1016,1807
3160,4.9467489141689915,4.381772233500558,-0.5649766806684333,-0.12127731371384363,Physical therapists,1978,3974
3230,8.10753786009207,6.968948175067097,-1.1385896850249724,-0.15132992301618114,Speech-language pathologists,1303,2372
3245,8.590389614029858,8.271568967232025,-0.3188206467978336,-0.0378198826993898,Other therapists,1564,3646
3255,7.451719499861409,7.9458762623816686,0.49415676252025964,0.06420827384520138,Registered nurses,22880,40640
3258,0.34982037387644405,0.3545025725050555,0.004682198628611467,0.013295797413280484,"Nurse practitioners, and nurse midwives",1902,3655
3300,11.402181923491925,10.969684420033692,-0.432497503458233,-0.038669227555398235,Clinical laboratory technologists and technicians,2274,3358
3310,5.586891570418767,7.256933926484972,1.6700423560662054,0.26153435264672087,Dental hygienists,1504,2532
3323,4.837123221493536,8.038999381165436,3.2018761596719,0.5079844520739852,Radiologic technologists and technicians,1591,3049
3401,22.851441719444484,27.479446458368802,4.628004738924318,0.1844241134222285,Emergency medical technicians,808,1574
3421,14.881887501769272,18.221886845067278,3.3399993432980057,0.20247857587716822,Pharmacy technicians,2170,3757
3424,23.757472150693005,24.138601544065864,0.3811293933728592,0.015915185054854387,Veterinary technologists and technicians,949,1621
3500,9.451526621101976,8.176644477533277,-1.2748821435686999,-0.14489441978008563,Licensed practical and licensed vocational nurses,3652,5812
3515,5.963858314054509,3.123446069085201,-2.8404122449693077,-0.646780738132929,Medical records specialists,1354,2315
3545,6.688415798344255,9.433529009117471,2.7451132107732166,0.3438932141269971,Miscellaneous health technologists and technicians,1066,1472
3601,6.113058036070028,4.415371331989956,-1.6976867040800725,-0.3253352074533818,Home health aides,2895,5757
3602,10.008916274085996,9.683870949298424,-0.3250453247875722,-0.03301461032939506,Personal care aides,8131,16022
3603,13.076419996357952,13.854488034949744,0.7780680385917922,0.05779861800462177,Nursing assistants,7651,13455
3630,5.5693824632032385,3.041622899752744,-2.5277595634504944,-0.6048929578526392,Massage therapists,1076,2091
3640,15.982175134826415,20.49879360565243,4.516618470826016,0.2488919887610446,Dental assistants,1978,3063
3645,16.90203249944033,17.73419638854833,0.8321638891079992,0.04806089408567992,Medical assistants,3519,6607
3655,9.290023051278757,10.78298657028227,1.4929635190035135,0.14902854032348453,Other healthcare support workers,1187,2267
3740,7.546918125002058,8.903939703983646,1.3570215789815876,0.16535455759795645,Firefighters,1963,3609
3802,11.262023902987483,7.729152977302461,-3.532870925685022,-0.3764370687089335,Correctional officers and jailers,1846,3271
3820,1.4420466416401019,3.4346081600836262,1.9925615184435244,0.8678394629679039,Detectives and criminal investigators,938,1705
3870,6.868599524674332,5.8633964145714685,-1.0052031101028636,-0.1582312030739656,Police officers,5067,7879
3930,12.852407427034892,13.638061709140217,0.785654282105325,0.05933339668110618,Security guards and gaming surveillance officers,4701,8281
4000,6.4409041980189405,7.920100537871832,1.4791963398528916,0.20673496624178572,Chefs and head cooks,2693,4981
4010,17.69936240721332,15.419524632135644,-2.2798377750776773,-0.1378940770864079,First-line supervisors of food preparation and serving workers,2886,5153
4020,13.732731053724942,14.247672821028454,0.5149417673035117,0.036811471158569115,Cooks,10040,17425
4030,18.16735531179926,19.19408711509902,1.0267318032997608,0.05497594949405635,Food preparation workers,3907,7057
4040,18.095383103319538,18.262622083505768,0.16723898018623018,0.009199633413520678,Bartenders,2668,4491
4055,32.27230342457019,43.022710699681404,10.750407275111215,0.2875187488072935,Fast food and counter workers,2305,4624
4110,30.247477555481474,30.476002460921293,0.2285249054398193,0.007526774955903247,Waiters and waitresses,7244,12870
4120,16.807160398644218,19.214253060655135,2.4070926620109176,0.13384734072892668,"Food servers, nonrestaurant",867,1636
4130,18.6806264948473,18.75831565807288,0.07768916322558184,0.004150185356109825,Dining room and cafeteria attendants and bartender helpers,934,1831
4140,15.084229751446804,17.052780035157184,1.96855028371038,0.12266343160636564,Dishwashers,1064,1996
4200,3.2080830965104177,2.6465049694689395,-0.5615781270414781,-0.1924337025055545,First-line supervisors of housekeeping and janitorial workers,2177,3861
4210,6.393715442653006,4.674273193965261,-1.719442248687745,-0.3132418617165568,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",1699,3082
4220,7.086855652688699,8.796089437726923,1.709233785038224,0.21606548892057265,Janitors and building cleaners,12852,22187
4230,5.984937657198257,6.575819350780396,0.5908816935821388,0.09415326394070518,Maids and housekeeping cleaners,8385,14530
4251,10.753573020984625,11.104595003757877,0.35102198277325236,0.03212091356648057,Landscaping and groundskeeping workers,6518,10399
4330,7.463591322177801,5.321003150795543,-2.1425881713822577,-0.33837486109686593,Supervisors of personal care and service workers,1589,1909
4350,21.77582707684399,24.40103203699735,2.6252049601533614,0.1138249231225972,Animal caretakers,1551,3219
4510,10.310229791015175,9.516360229701071,-0.7938695613141036,-0.08012413906472485,"Hairdressers, hairstylists, and cosmetologists",4453,7496
4521,7.180711484134441,5.848418706122766,-1.3322927780116745,-0.20522715258997049,Manicurists and pedicurists,1576,3019
4600,16.28318950157281,16.3589745699704,0.07578506839758958,0.004643393397503084,Childcare workers,5447,8881
4621,11.184158089235966,13.207047151121309,2.0228890618853423,0.16625224152147444,Exercise trainers and group fitness instructors,1360,2477
4700,8.176011081302127,7.610717389178966,-0.565293692123161,-0.07164695210057383,First-line supervisors of retail sales workers,20390,33703
4710,4.5036676207274855,4.387244671709484,-0.1164229490180011,-0.02619069903414331,First-line supervisors of non-retail sales workers,7869,12585
4720,23.443524130105143,23.286448500380214,-0.15707562972492894,-0.006722718309804299,Cashiers,10384,17032
4760,17.873061298980495,18.396661855747066,0.5236005567665707,0.028874603373172627,Retail salespersons,13918,23126
4810,6.897515368938796,6.816612144333427,-0.08090322460536914,-0.011798659894151606,Insurance sales agents,3813,6452
4820,9.327125365551206,8.862278055690942,-0.46484730986026435,-0.05112301233526924,"Securities, commodities, and financial services sales agents",1359,2090
4840,8.4953960689185,8.47005081069914,-0.02534525821936029,-0.002987870258265425,"Sales representatives of services, except advertising, insurance, financial services, and travel",3693,7062
4850,4.593808650562702,6.503253752745987,1.9094451021832857,0.347593177633146,"Sales representatives, wholesale and manufacturing",7597,12176
4920,4.507893145777487,4.5842841160094085,0.07639097023192143,0.016804064771083572,Real estate brokers and sales agents,6847,10155
4965,14.513188569442276,16.43590018608192,1.9227116166396439,0.12441018557501066,"Sales and related workers, all other",2183,3786
5000,4.377287629374145,3.904093504046348,-0.4731941253277969,-0.11440365077047222,First-line supervisors of office and administrative support workers,8244,14479
5110,6.6068361094327885,6.034030994246568,-0.5728051151862203,-0.09068960982089004,Billing and posting clerks,3058,4891
5120,5.6893026403626665,6.057137292693785,0.36783465233111823,0.06264961270731934,"Bookkeeping, accounting, and auditing clerks",7307,13515
5140,2.530160148452628,8.556469964844432,6.026309816391803,1.2184051172943715,Payroll and timekeeping clerks,889,1654
5160,18.88071027379196,22.68853086350912,3.80782058971716,0.18371876805924095,Tellers,1441,2479
5240,14.495318076785946,13.813270164927443,-0.6820479118585023,-0.04819596975947646,Customer service representatives,14532,23919
5260,8.798539791850002,7.493999036023494,-1.3045407558265083,-0.1604832032331019,File clerks,905,1411
5310,17.502180909490768,10.65766538294685,-6.844515526543917,-0.49604610904022717,"Interviewers, except eligibility and loan",1198,1859
5330,5.630565462807061,5.81620477443222,0.18563931162515868,0.03243807386861933,Loan interviewers and clerks,1048,1195
5400,18.89606530157936,18.046836751398978,-0.8492285501803813,-0.04598329509947339,Receptionists and information clerks,7060,12034
5510,16.98741299211544,12.046548741230168,-4.940864250885273,-0.3436944501903191,Couriers and messengers,4757,9285
5522,8.982969020217617,10.585367187482833,1.602398167265216,0.16414213987368603,"Dispatchers, except police, fire, and ambulance",1123,1965
5550,4.103252467103634,4.7977980951209505,0.6945456280173161,0.1563771385961155,Postal service mail carriers,1984,3614
5600,8.137921508498081,8.663780832017673,0.5258593235195921,0.06261640850934098,"Production, planning, and expediting clerks",1457,2310
5610,12.597422131087221,10.199944250485565,-2.397477880601656,-0.21110994561800214,"Shipping, receiving, and inventory clerks",3678,6104
5710,5.487968328117651,4.085427772639893,-1.4025405554777581,-0.2951316785574111,Executive secretaries and executive administrative assistants,1499,2598
5740,6.13982141985555,6.869717965161303,0.7298965453057535,0.11232739526348397,"Secretaries and administrative assistants, except legal, medical, and executive",13473,19036
5810,15.637096120639413,10.005518565422017,-5.631577555217396,-0.4465092505230825,Data entry keyers,1370,2245
5840,8.396984215380284,5.033763156425761,-3.3632210589545233,-0.5117047725837373,Insurance claims and policy processing clerks,1804,3267
5860,9.920915846686515,11.288301203806867,1.3673853571203516,0.1291216574452233,"Office clerks, general",7496,13403
5940,9.376420974826251,9.780216064895846,0.403795090069595,0.042163445308889595,5940,4154,7095
6050,10.087270099244309,10.89526569260633,0.8079955933620209,0.0770541120752045,Other agricultural workers,5046,8211
6200,3.5776282968821294,4.0147463349502255,0.4371180380680961,0.11527407209614854,First-line supervisors of construction trades and extraction workers,4688,9187
6230,8.760412434688204,9.050549529330874,0.29013709464267023,0.03258249191597709,Carpenters,7771,12972
6240,8.819063597255791,7.529575587571545,-1.2894880096842467,-0.15807701891982778,"Carpet, floor, and tile installers and finishers",875,1174
6260,10.551237197017663,11.44162732310433,0.8903901260866665,0.0810151014523986,Construction laborers,12478,21954
6305,7.34122268518987,9.837935827104989,2.4967131419151185,0.2927405082728647,Construction equipment operators,2840,4951
6330,7.258863988914538,8.664184514999643,1.4053205260851058,0.1769744649799936,"Drywall installers, ceiling tile installers, and tapers",919,1329
6355,9.856804857786093,12.42077039848833,2.5639655407022364,0.23120803828119574,Electricians,5708,11089
6410,7.356930658698927,9.184964380284297,1.8280337215853706,0.221925024936982,Painters and paperhangers,3390,5163
6442,8.889091097376932,11.260531343737965,2.3714402463610327,0.23647900467342742,"Plumbers, pipefitters, and steamfitters",3862,6511
6515,9.675330845829698,13.975774582806219,4.30044373697652,0.36774600954148456,Roofers,1229,2381
6520,11.49114437228317,8.135373928568166,-3.355770443715004,-0.34535497912136415,Sheet metal workers,848,1552
7000,2.7436582239674774,2.3007553116413693,-0.4429029123261081,-0.1760546827678069,"First-line supervisors of mechanics, installers, and repairers",1783,3281
7010,7.686008536901231,9.642224147428818,1.956215610527587,0.22675019984819036,"Computer, automated teller, and office machine repairers",1165,1446
7020,10.187280131598254,10.592185036820883,0.40490490522262945,0.03897657237076112,Radio and telecommunications equipment installers and repairers,866,1338
7140,7.648247590864302,10.704610496430494,3.056362905566192,0.3361979876717981,Aircraft mechanics and service technicians,1112,1751
7150,8.480335445443389,11.375959823132261,2.895624377688872,0.2937523350656738,Automotive body and related repairers,864,1356
7200,10.618609734002305,11.582470271212548,0.9638605372102429,0.08688467453165907,Automotive service technicians and mechanics,5306,9196
7210,10.731958450610348,11.96601676839786,1.2340583177875128,0.1088446352900026,Bus and truck mechanics and diesel engine specialists,2361,3826
7220,6.430828579760808,8.057504211804916,1.6266756320441083,0.22550046592918746,Heavy vehicle and mobile equipment service technicians and mechanics,1903,2554
7315,9.777390441836573,11.501360259989523,1.7239698181529501,0.1623926893973574,"Heating, air conditioning, and refrigeration mechanics and installers",2910,5506
7330,4.2564428045038705,6.117151070952414,1.860708266448544,0.3626626878190046,Industrial and refractory machinery mechanics,2793,4285
7340,5.954842069917323,8.37495046121131,2.4201083912939865,0.3410404807436352,"Maintenance and repair workers, general",4118,7674
7410,8.341553741045232,15.004926719931932,6.6633729788867,0.5871290962659311,Electrical power-line installers and repairers,915,1630
7420,7.832831077286671,10.515793217106054,2.6829621398193835,0.29455423039582646,Telecommunications line installers and repairers,850,1421
