year,16-21,22-25,26-30,31-40,41+,All ages
2020,15.422164266666666,176.22085743333332,321.03364071666664,693.3991773333333,761.4360465666667,1967.5118863166667
2021,17.487392625000002,150.56856751666666,386.2181160583333,666.4971374833334,784.4648238333333,2005.2360375166668
2022,13.757513175,180.55026668333332,391.16555335833334,694.5496697916667,885.9646790833333,2165.987682091667
2023,19.432977375,176.119231425,401.7256067083334,741.7451813249999,871.7501537500001,2210.7731505833335
2024,19.3604724,170.75619025,385.646628325,717.4371353833334,865.1348178583333,2158.335244216667
2025,10.187339572727273,208.11978779090907,403.1789620181818,775.8431197909091,929.9341167272728,2327.2633259
2026,15.604956249999999,186.07189595,472.4841730625,866.4094479625,1032.3847321125,2572.9552053375
