,,junior (pre gap),junior x post,se,p,pct change in gap,n
"YearsCodePro, 2021-2024",year FE,-0.5437859111805223,-0.0521058802156254,0.017051961308383212,0.002245269231120261,-5.077164298113634,17597.0
"YearsCodePro, 2021-2024",year FE + org size,-0.5397452120855728,-0.05675511893643054,0.016372242068827002,0.0005271928739310329,-5.517458910870552,17597.0
"WorkExp, 2022-2025",year FE,-0.47120740203843214,-0.1382632310221989,0.02866079210138174,1.4061952408912981e-06,-12.9130578276451,12751.0
"WorkExp, 2022-2025",year FE + org size,-0.47702543486538973,-0.135583897242047,0.028006490789814546,1.2908351658161056e-06,-12.67940997115179,12751.0
